TargetSize=332 * 123
Role1_1 = TargetSize:3*3; Pos:-121,-13; OriginSize:4 * 4;
Role1_2 = TargetSize:9*7; Pos:-121,-13; OriginSize:10 * 8;
Role1_3 = TargetSize:17*13; Pos:-121,-13; OriginSize:18 * 14;
Role1_4 = TargetSize:28*34; Pos:-121,-13; OriginSize:30 * 36;
Role1_5 = TargetSize:39*35; Pos:-121,-13; OriginSize:42 * 38;
Role1_6 = TargetSize:58*49; Pos:-121,-13; OriginSize:62 * 52;
Role1_7 = TargetSize:56*47; Pos:-121,-13; OriginSize:60 * 50;
Role1_8 = TargetSize:59*68; Pos:-121,-13; OriginSize:63 * 72;
Role1_9 = TargetSize:67*79; Pos:-121,-13; OriginSize:71 * 84;
Role1_10 = TargetSize:70*81; Pos:-122,-13; OriginSize:74 * 86;
Role1_11 = TargetSize:73*81; Pos:-123,-13; OriginSize:78 * 86;
Role1_12 = TargetSize:77*80; Pos:-121,-13; OriginSize:82 * 85;
Role1_13 = TargetSize:76*82; Pos:-119,-13; OriginSize:81 * 87;
Role1_14 = TargetSize:73*84; Pos:-119,-11; OriginSize:78 * 89;
Role1_15 = TargetSize:72*84; Pos:-119,-9; OriginSize:76 * 89;
Role1_16 = TargetSize:86*84; Pos:-112,-8; OriginSize:91 * 89;
Role1_17 = TargetSize:120*84; Pos:-97,-7; OriginSize:127 * 89;
Role1_18 = TargetSize:168*84; Pos:-73,-7; OriginSize:178 * 89;
Role1_19 = TargetSize:208*85; Pos:-54,-6; OriginSize:220 * 90;
Role1_20 = TargetSize:236*88; Pos:-40,-4; OriginSize:249 * 94;
Role1_21 = TargetSize:256*90; Pos:-30,-3; OriginSize:270 * 96;
Role1_22 = TargetSize:270*92; Pos:-23,-2; OriginSize:285 * 98;
Role1_23 = TargetSize:281*93; Pos:-17,-2; OriginSize:297 * 99;
Role1_24 = TargetSize:290*94; Pos:-13,-1; OriginSize:306 * 100;
Role1_25 = TargetSize:296*94; Pos:-9,-1; OriginSize:313 * 100;
Role1_26 = TargetSize:300*95; Pos:-8,-1; OriginSize:317 * 101;
Role1_27 = TargetSize:304*95; Pos:-6,-1; OriginSize:321 * 101;
Role1_28 = TargetSize:306*96; Pos:-5,0; OriginSize:323 * 102;
Role1_29 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_30 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_31 = TargetSize:308*102; Pos:-4,-3; OriginSize:325 * 108;
Role1_32 = TargetSize:308*102; Pos:-4,-3; OriginSize:325 * 108;
Role1_33 = TargetSize:308*102; Pos:-4,-3; OriginSize:325 * 108;
Role1_34 = TargetSize:308*100; Pos:-4,-2; OriginSize:325 * 106;
Role1_35 = TargetSize:308*98; Pos:-4,-1; OriginSize:325 * 104;
Role1_36 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_37 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_38 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_39 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_40 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_41 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_42 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_43 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_44 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_45 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_46 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_47 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_48 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
Role1_49 = TargetSize:308*96; Pos:-4,0; OriginSize:325 * 102;
