TargetSize=332 * 123
Role0_1 = TargetSize:3*3; Pos:-124,-11; OriginSize:4 * 4;
Role0_2 = TargetSize:8*7; Pos:-123,-11; OriginSize:9 * 8;
Role0_3 = TargetSize:16*13; Pos:-123,-11; OriginSize:17 * 14;
Role0_4 = TargetSize:28*34; Pos:-124,-11; OriginSize:30 * 36;
Role0_5 = TargetSize:39*35; Pos:-124,-11; OriginSize:42 * 38;
Role0_6 = TargetSize:57*49; Pos:-123,-11; OriginSize:61 * 52;
Role0_7 = TargetSize:55*47; Pos:-123,-11; OriginSize:59 * 50;
Role0_8 = TargetSize:58*69; Pos:-124,-11; OriginSize:62 * 73;
Role0_9 = TargetSize:66*79; Pos:-124,-11; OriginSize:70 * 84;
Role0_10 = TargetSize:71*81; Pos:-125,-11; OriginSize:75 * 86;
Role0_11 = TargetSize:73*81; Pos:-128,-11; OriginSize:78 * 86;
Role0_12 = TargetSize:79*80; Pos:-126,-11; OriginSize:84 * 85;
Role0_13 = TargetSize:80*86; Pos:-125,-9; OriginSize:85 * 91;
Role0_14 = TargetSize:79*87; Pos:-126,-8; OriginSize:84 * 93;
Role0_15 = TargetSize:80*87; Pos:-125,-6; OriginSize:85 * 92;
Role0_16 = TargetSize:93*86; Pos:-119,-5; OriginSize:99 * 91;
Role0_17 = TargetSize:126*85; Pos:-102,-4; OriginSize:133 * 90;
Role0_18 = TargetSize:173*85; Pos:-79,-3; OriginSize:183 * 90;
Role0_19 = TargetSize:213*85; Pos:-59,-3; OriginSize:225 * 90;
Role0_20 = TargetSize:240*87; Pos:-45,-2; OriginSize:254 * 93;
Role0_21 = TargetSize:260*89; Pos:-35,-1; OriginSize:275 * 95;
Role0_22 = TargetSize:276*90; Pos:-27,0; OriginSize:291 * 96;
Role0_23 = TargetSize:286*92; Pos:-22,0; OriginSize:302 * 98;
Role0_24 = TargetSize:295*93; Pos:-18,0; OriginSize:311 * 99;
Role0_25 = TargetSize:301*93; Pos:-15,0; OriginSize:318 * 99;
Role0_26 = TargetSize:306*94; Pos:-12,0; OriginSize:323 * 100;
Role0_27 = TargetSize:309*94; Pos:-11,0; OriginSize:326 * 100;
Role0_28 = TargetSize:312*95; Pos:-9,1; OriginSize:329 * 101;
Role0_29 = TargetSize:313*95; Pos:-9,1; OriginSize:330 * 101;
Role0_30 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_31 = TargetSize:313*102; Pos:-9,-1; OriginSize:331 * 108;
Role0_32 = TargetSize:313*102; Pos:-9,-1; OriginSize:331 * 108;
Role0_33 = TargetSize:313*102; Pos:-9,-1; OriginSize:331 * 108;
Role0_34 = TargetSize:313*100; Pos:-9,0; OriginSize:331 * 106;
Role0_35 = TargetSize:313*98; Pos:-9,0; OriginSize:331 * 104;
Role0_36 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_37 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_38 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_39 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_40 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_41 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_42 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_43 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_44 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_45 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_46 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_47 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_48 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
Role0_49 = TargetSize:313*95; Pos:-9,1; OriginSize:331 * 101;
