TargetSize=332 * 123
Role2_1 = TargetSize:3*3; Pos:-121,-13; OriginSize:4 * 4;
Role2_2 = TargetSize:9*7; Pos:-121,-13; OriginSize:10 * 8;
Role2_3 = TargetSize:17*13; Pos:-121,-13; OriginSize:18 * 14;
Role2_4 = TargetSize:28*34; Pos:-121,-13; OriginSize:30 * 36;
Role2_5 = TargetSize:39*35; Pos:-121,-13; OriginSize:42 * 38;
Role2_6 = TargetSize:58*49; Pos:-121,-13; OriginSize:62 * 52;
Role2_7 = TargetSize:56*47; Pos:-121,-13; OriginSize:60 * 50;
Role2_8 = TargetSize:59*68; Pos:-121,-13; OriginSize:63 * 72;
Role2_9 = TargetSize:67*79; Pos:-121,-13; OriginSize:71 * 84;
Role2_10 = TargetSize:72*81; Pos:-123,-13; OriginSize:76 * 86;
Role2_11 = TargetSize:76*81; Pos:-123,-13; OriginSize:81 * 86;
Role2_12 = TargetSize:80*82; Pos:-121,-14; OriginSize:85 * 87;
Role2_13 = TargetSize:80*84; Pos:-120,-14; OriginSize:85 * 89;
Role2_14 = TargetSize:76*87; Pos:-119,-12; OriginSize:81 * 92;
Role2_15 = TargetSize:73*87; Pos:-119,-9; OriginSize:78 * 93;
Role2_16 = TargetSize:87*88; Pos:-112,-8; OriginSize:92 * 94;
Role2_17 = TargetSize:121*87; Pos:-97,-7; OriginSize:128 * 92;
Role2_18 = TargetSize:169*87; Pos:-74,-7; OriginSize:179 * 93;
Role2_19 = TargetSize:210*87; Pos:-55,-7; OriginSize:222 * 93;
Role2_20 = TargetSize:238*90; Pos:-41,-5; OriginSize:251 * 96;
Role2_21 = TargetSize:258*92; Pos:-31,-4; OriginSize:272 * 98;
Role2_22 = TargetSize:272*94; Pos:-24,-3; OriginSize:287 * 100;
Role2_23 = TargetSize:283*95; Pos:-18,-3; OriginSize:299 * 101;
Role2_24 = TargetSize:292*96; Pos:-14,-2; OriginSize:308 * 102;
Role2_25 = TargetSize:298*96; Pos:-10,-2; OriginSize:315 * 102;
Role2_26 = TargetSize:302*97; Pos:-9,-2; OriginSize:319 * 103;
Role2_27 = TargetSize:306*97; Pos:-7,-2; OriginSize:323 * 103;
Role2_28 = TargetSize:308*98; Pos:-6,-1; OriginSize:325 * 104;
Role2_29 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_30 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_31 = TargetSize:310*102; Pos:-5,-3; OriginSize:327 * 108;
Role2_32 = TargetSize:310*102; Pos:-5,-3; OriginSize:327 * 108;
Role2_33 = TargetSize:310*102; Pos:-5,-3; OriginSize:327 * 108;
Role2_34 = TargetSize:310*100; Pos:-5,-2; OriginSize:327 * 106;
Role2_35 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_36 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_37 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_38 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_39 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_40 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_41 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_42 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_43 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_44 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_45 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_46 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_47 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_48 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
Role2_49 = TargetSize:310*98; Pos:-5,-1; OriginSize:327 * 104;
